questionText,options,correctAnswerText
倚天劍和屠龍刀由何種兵器鑄成？,"金蛇劍,玄鐵劍,碧血劍",玄鐵劍
《笑傲江湖》中的少林寺三戰，方證大師為何失手？,"向問天暗施偷襲,任盈盈哀告求饒,任我行使詐欺騙",任我行使詐欺騙
謝煙客共有幾枚玄鐵令？,"三枚,二枚,一枚",三枚
「萬里獨行」田伯光出家為僧後，法號為：,"不能不戒,不可不戒,不得不戒",不可不戒
少林派玄悲大師死於何人之手？,"蕭遠山,丁春秋,慕容博",慕容博
林平之的外婆在洛陽重價覓得，十七歲生日時贈與他的白馬，名為：,"小雪龍,小雪麟,小雪球",小雪龍
第一次華山論劍，東邪、西毒、北丐、南帝、中神通，多久分出勝負？,"五天四夜,六天七夜,七天七夜",七天七夜
何人為虛竹在少林寺中的授業師父？,"慧空,慧輪,慧心",慧輪
依據蕭峰所言，天下點穴功夫中，以何門武功為第一？,"金剛指,幻陰指,一陽指",一陽指
何人的外號中沒有數目字？,"齊雲璈,趙半山,朱長齡",齊雲璈
西夏的國姓為何？,"周,李,夏",李
何門派不在圍勦明教總壇光明頂的六大派之列？,"青城派,崑崙派,華山派",青城派
洛陽綠竹巷中，綠竹翁教令狐沖的第一首曲子為：,"清心普善咒,有所思,碧霄吟",碧霄吟
